year,month,day,month_2,day_2,year_month,year_month_day,Date,Open,High,Low,Close,Adj Close,Volume,open_return,close_return,average_return,sentiment2,sentiment2_1,sentiment2_2,sentiment2_3,baseline_close_return,baseline_open_return
2022,1,2,1,2,202201,20220102,2/1/2022,47680.92578,47881.40625,40672.27734,41733.94141,41733.94141,2.83E+11,-0.054488141,-0.124832648,-0.089660394,-0.012808628,,,,-0.018019121,-0.021607306
2022,1,9,1,9,202201,20220109,9/1/2022,41734.72656,44278.42188,39796.57031,43177.39844,43177.39844,2.03E+11,-0.124708133,0.034587125,-0.045060504,-0.006437215,-0.012808628,,,-0.018019121,-0.021607306
2022,1,16,1,16,202201,20220116,16/1/2022,43172.03906,43436.80859,34349.25,35030.25,35030.25,1.88E+11,0.034439246,-0.188690119,-0.077125437,-0.01101792,-0.006437215,-0.012808628,,-0.018019121,-0.021607306
2022,1,23,1,23,202201,20220123,23/1/2022,35047.35938,38825.41016,33184.05859,38138.17969,38138.17969,1.90E+11,-0.188193096,0.088721311,-0.049735893,-0.007105128,-0.01101792,-0.006437215,-0.012808628,-0.018019121,-0.021607306
2022,1,30,1,30,202201,20220130,30/1/2022,38151.91797,41847.16406,36375.53906,41441.16406,41441.16406,1.42E+11,0.088581812,0.086605716,0.087593764,0.012513395,-0.007105128,-0.01101792,-0.006437215,-0.018019121,-0.021607306
2022,2,6,2,6,202202,20220206,6/2/2022,41441.12109,45661.17188,41244.90625,42244.46875,42244.46875,1.78E+11,0.08621331,0.019384221,0.052798765,0.007542681,0.012513395,-0.007105128,-0.01101792,-0.018019121,-0.021607306
2022,2,13,2,13,202202,20220213,13/2/2022,42236.56641,44667.21875,39637.61719,40122.15625,40122.15625,1.41E+11,0.01919459,-0.050238826,-0.015522118,-0.002217445,0.007542681,0.012513395,-0.007105128,-0.018019121,-0.021607306
2022,2,20,2,20,202202,20220220,20/2/2022,40118.10156,40119.89063,34459.21875,39105.14844,39105.14844,1.85E+11,-0.050157127,-0.025347786,-0.037752456,-0.005393208,-0.002217445,0.007542681,0.012513395,-0.018019121,-0.021607306
2022,2,27,2,27,202202,20220227,27/2/2022,39098.69922,45077.57813,37268.97656,39400.58594,39400.58594,1.91E+11,-0.025410034,0.007554952,-0.008927541,-0.001275363,-0.005393208,-0.002217445,0.007542681,-0.018019121,-0.021607306
2022,3,6,3,6,202203,20220306,6/3/2022,39404.19922,42465.67188,37260.20313,38904.01172,38904.01172,1.78E+11,0.007813559,-0.012603219,-0.00239483,-0.000342119,-0.001275363,-0.005393208,-0.002217445,-0.018019121,-0.021607306
2022,3,13,3,13,202203,20220313,13/3/2022,38884.72656,42316.55469,37680.73438,42190.65234,42190.65234,1.81E+11,-0.01318318,0.084480764,0.035648792,0.005092685,-0.000342119,-0.001275363,-0.005393208,-0.018019121,-0.021607306
2022,3,20,3,20,202203,20220320,20/3/2022,42191.40625,44999.49219,40668.04297,44500.82813,44500.82813,1.81E+11,0.085038008,0.054755631,0.069896819,0.00998526,0.005092685,-0.000342119,-0.001275363,-0.018019121,-0.021607306
2022,3,27,3,27,202203,20220327,27/3/2022,44505.35547,48086.83594,44403.14063,45868.94922,45868.94922,2.26E+11,0.054844089,0.030743722,0.042793905,0.006113415,0.00998526,0.005092685,-0.000342119,-0.018019121,-0.021607306
2022,4,3,4,3,202204,20220403,3/4/2022,45859.12891,47313.47656,42183.25391,42782.13672,42782.13672,1.96E+11,0.030418214,-0.067296342,-0.018439064,-0.002634152,0.006113415,0.00998526,0.005092685,-0.018019121,-0.021607306
2022,4,10,4,10,202204,20220410,10/4/2022,42781.08984,43376.37891,39373.05859,40424.48438,40424.48438,1.73E+11,-0.06711944,-0.055108336,-0.061113888,-0.008730555,-0.002634152,0.006113415,0.00998526,-0.018019121,-0.021607306
2022,4,17,4,17,202204,20220417,17/4/2022,40417.77734,42893.58203,38696.19141,39486.73047,39486.73047,1.85E+11,-0.055241989,-0.023197671,-0.03921983,-0.005602833,-0.008730555,-0.002634152,0.006113415,-0.018019121,-0.021607306
2022,4,24,4,24,202204,20220424,24/4/2022,39478.375,40713.89063,37697.94141,37714.875,37714.875,2.08E+11,-0.023242306,-0.044872175,-0.03405724,-0.00486532,-0.005602833,-0.008730555,-0.002634152,-0.018019121,-0.021607306
2022,5,1,5,1,202205,20220501,1/5/2022,37713.26563,39902.94922,34940.82422,35501.95313,35501.95313,2.29E+11,-0.044710791,-0.058675042,-0.051692917,-0.007384702,-0.00486532,-0.005602833,-0.008730555,-0.018019121,-0.021607306
2022,5,8,5,8,202205,20220508,8/5/2022,35502.94141,35502.94141,26350.49023,30101.26563,30101.26563,3.69E+11,-0.058608667,-0.152123673,-0.10536617,-0.01505231,-0.007384702,-0.00486532,-0.005602833,-0.018019121,-0.021607306
2022,5,15,5,15,202205,20220515,15/5/2022,30098.58594,31308.19141,28708.95508,29432.22656,29432.22656,2.01E+11,-0.152222753,-0.022226277,-0.087224515,-0.012460645,-0.01505231,-0.007384702,-0.00486532,-0.018019121,-0.021607306
2022,5,22,5,22,202205,20220522,22/5/2022,29432.47266,30590.58594,28261.90625,28814.90039,28814.90039,2.16E+11,-0.022131049,-0.020974498,-0.021552773,-0.003078968,-0.012460645,-0.01505231,-0.007384702,-0.018019121,-0.021607306
2022,5,29,5,29,202205,20220529,29/5/2022,29019.86719,32249.86328,28841.10742,29832.91406,29832.91406,2.04E+11,-0.014018716,0.035329418,0.010655351,0.001522193,-0.003078968,-0.012460645,-0.01505231,-0.018019121,-0.021607306
2022,6,5,6,5,202206,20220605,5/6/2022,29835.11719,31693.29102,28236.21289,28360.81055,28360.81055,1.99E+11,0.028092823,-0.049344945,-0.010626061,-0.001518009,0.001522193,-0.003078968,-0.012460645,-0.018019121,-0.021607306
2022,6,12,6,12,202206,20220612,12/6/2022,28373.51367,28502.68555,17708.62305,19017.64258,19017.64258,3.09E+11,-0.048989367,-0.329439384,-0.189214376,-0.027030625,-0.001518009,0.001522193,-0.003078968,-0.018019121,-0.021607306
2022,6,19,6,19,202206,20220619,19/6/2022,19010.90234,21620.62891,18067.15234,21502.33789,21502.33789,1.93E+11,-0.329977155,0.13065212,-0.099662518,-0.014237503,-0.027030625,-0.001518009,0.001522193,-0.018019121,-0.021607306
2022,6,26,6,26,202206,20220626,26/6/2022,21496.49414,21783.72461,18729.65625,19242.25586,19242.25586,1.59E+11,0.130745598,-0.105108665,0.012818466,0.001831209,-0.014237503,-0.027030625,-0.001518009,-0.018019121,-0.021607306
2022,7,3,7,3,202207,20220703,3/7/2022,19242.0957,22314.94141,18966.95117,21592.20703,21592.20703,1.95E+11,-0.104872842,0.122124515,0.008625837,0.001232262,0.001831209,-0.014237503,-0.027030625,-0.018019121,-0.021607306
2022,7,10,7,10,202207,20220710,10/7/2022,21591.08008,21591.08008,18999.95313,21190.31641,21190.31641,1.93E+11,0.122075288,-0.018612763,0.051731263,0.00739018,0.001232262,0.001831209,-0.014237503,-0.018019121,-0.021607306
2022,7,17,7,17,202207,20220717,17/7/2022,21195.04102,24196.81836,20778.17969,22465.47852,22465.47852,2.44E+11,-0.018342717,0.060176643,0.020916963,0.002988138,0.00739018,0.001232262,0.001831209,-0.018019121,-0.021607306
2022,7,24,7,24,202207,20220724,24/7/2022,22465.50977,24572.58008,20776.81641,23656.20703,23656.20703,2.24E+11,0.059941792,0.053002589,0.056472191,0.008067456,0.002988138,0.00739018,0.001232262,-0.018019121,-0.021607306
2022,7,31,7,31,202207,20220731,31/7/2022,23652.07031,24121.64258,22485.70117,22961.2793,22961.2793,1.74E+11,0.019014437,0.018825876,-0.00388485,-0.000554979,0.008067456,0.002988138,0.00739018,-0.029376126,-0.021607306
2022,8,7,8,7,202208,20220807,7/8/2022,22963.50586,24860.05078,22771.51953,24424.06836,24424.06836,1.88E+11,0.052229262,0.019014437,0.018825876,0.002689411,-0.000554979,0.008067456,0.002988138,0.063706775,-0.021607306
2022,8,14,8,14,202208,20220814,14/8/2022,24429.05664,25135.58984,20856.73047,21166.06055,21166.06055,2.09E+11,0.019845029,0.052229262,0.019014437,0.002716348,0.002689411,-0.000554979,0.008067456,-0.13339333,-0.021607306
2022,8,21,8,21,202208,20220821,21/8/2022,21160.39258,21804.9082,19890.52344,20041.73828,20041.73828,2.22E+11,0.016844511,0.019845029,0.052229262,0.007461323,0.002716348,0.002689411,-0.000554979,-0.053119109,-0.021607306
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,